Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.5821389944488956,0.2983105447891041,0.5510201585820634,0.45106816269443695,0.5348884082452665
Run 2,0.5402486210398135,0.2983105447891041,0.2983105447891041,0.5056911566327869,0.2983105447891041
Run 3,0.5516206445102493,0.49662037343151,0.5858579794589772,0.49647996199724287,0.2983105447891041
Run 4,0.584627717559313,0.4652795951175977,0.2983105447891041,0.5318277894512411,0.5041900496166104
Run 5,0.519733570126117,0.2983105447891041,0.5357224312723513,0.5170979183288749,0.2983105447891041
Run 6,0.5320203197856236,0.499779666938641,0.5158164076728823,0.41948558600869723,0.2983105447891041
Run 7,0.5729600847905723,0.2983105447891041,0.2983105447891041,0.2983105447891041,0.5313874056814327
Run 8,0.5525869124477498,0.47285855392681336,0.2983105447891041,0.2983105447891041,0.5140195609254095
Run 9,0.5465973717967361,0.5102680234283394,0.5131696092861964,0.2983105447891041,0.4909719166723997
Run 10,0.57973490823337,0.2983105447891041,0.5465487105779633,0.2983105447891041,0.2983105447891041
Mean,0.556227,0.393636,0.444138,0.411489,0.406701
