Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.32229236177686066,0.4490695879965629,0.447419792271318,0.4894845430500484,0.5067811781862301
Run 2,0.3426794300246526,0.4433600965335037,0.4713389722582866,0.49359645529569185,0.5202998084937035
Run 3,0.34407486356957045,0.45305019511488254,0.46416735671113285,0.506908460559055,0.49791871811282784
Run 4,0.30598115273376325,0.434338739640758,0.47634804649150686,0.5063255304830842,0.46837658100332596
Run 5,0.3333900698050132,0.45488609416734505,0.47069758890398355,0.5025824315512097,0.5248995417409885
Run 6,0.33893617474272925,0.4547311795301141,0.4648341095816884,0.510645478190602,0.5057242698488078
Run 7,0.3448061588065218,0.4391402043098024,0.46723804761812204,0.5221786024530067,0.5226638496072956
Run 8,0.35414927061050294,0.44022653347628105,0.4537029406893459,0.4814272639980941,0.467075114729172
Run 9,0.3201860653462584,0.44021967256859923,0.46838565878266986,0.5436234132136638,0.5239754163600917
Run 10,0.31933971192598065,0.44659773227742866,0.45895246418767743,0.5176207454610017,0.49553509050516686
Mean,0.332584,0.445562,0.464308,0.507439,0.503325
