Run 1,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 2,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 3,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 4,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 5,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 6,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 7,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 8,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 9,"The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2. This information is found in the ""Subject Level"" section of the documentation."
Run 10,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 11,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 12,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 13,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 14,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 15,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 16,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 17,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 18,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 19,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 20,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 21,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 22,2 - UG - Level 2
Run 23,"The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2. This information is clearly stated in the documentation under the ""Subject Level"" section."
Run 24,"Based on the provided documentation, the subject level of COMP2026 - Visual Analytics is:

2 - UG - Level 2

This information is clearly stated in the ""Subject Level"" section of the documentation."
Run 25,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 26,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 27,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 28,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 29,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
Run 30,The subject level of COMP2026 - Visual Analytics is 2 - UG - Level 2.
