Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.340407428537841,0.46689611202706893,0.38390622110218126,0.1745295097800988,0.5490986771514081
Run 2,0.32496010402484443,0.45057458712971143,0.393795346283741,0.1745295097800988,0.3921669140418108
Run 3,0.34605281294813717,0.4620477013846278,0.1745295097800988,0.1745295097800988,0.5045008845991117
Run 4,0.33745592377243216,0.42848111914484566,0.1745295097800988,0.32305826685413747,0.49648747063421905
Run 5,0.344534465097889,0.4438768811160378,0.1745295097800988,0.1745295097800988,0.44662072182766044
Run 6,0.3434834791175252,0.4620477013846278,0.3489891940412499,0.1745295097800988,0.5496042189489924
Run 7,0.366064873431892,0.4671265939803997,0.1745295097800988,0.1745295097800988,0.5082353535251788
Run 8,0.35606290269341595,0.1745295097800988,0.1745295097800988,0.1745295097800988,0.5930520782298689
Run 9,0.310882250573154,0.1745295097800988,0.1745295097800988,0.1745295097800988,0.5885059065590634
Run 10,0.35913832471422624,0.1745295097800988,0.1745295097800988,0.1745295097800988,0.5575048266250989
Mean,0.342904,0.370464,0.23484,0.189382,0.518578
