Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.5176930482907309,0.5294229933303365,0.5495316303856437,0.5256487366162538,0.48143383187280825
Run 2,0.5176930482907309,0.48762745729558077,0.5495316303856437,0.2983105447891041,0.5281748328831313
Run 3,0.497864619523249,0.2983105447891041,0.5495316303856437,0.5256487366162538,0.48143383187280825
Run 4,0.5578470137069618,0.2983105447891041,0.5495316303856437,0.2983105447891041,0.2983105447891041
Run 5,0.5129015600061855,0.47028257223702963,0.5495316303856437,0.2983105447891041,0.5188004569852699
Run 6,0.5361925858867261,0.2983105447891041,0.5495316303856437,0.2983105447891041,0.2983105447891041
Run 7,0.5425521472121699,0.2983105447891041,0.5495316303856437,0.2983105447891041,0.2983105447891041
Run 8,0.5378757129942353,0.5308610098229156,0.5495316303856437,0.2983105447891041,0.5068268401909375
Run 9,0.5352190319611012,0.2983105447891041,0.5495316303856437,0.2983105447891041,0.2983105447891041
Run 10,0.5469301298268343,0.5017171477969113,0.5495316303856437,0.2983105447891041,0.4636417025333518
Mean,0.530277,0.401146,0.549532,0.343778,0.417355
