Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.7147860029777953,0.7419216342955929,0.7617768058130644,0.5816682034816518,0.7523514524470192
Run 2,0.6694264267779819,0.7419216342955929,0.6431648505006092,0.6835673552855027,0.6515895550315073
Run 3,0.6694264267779819,0.6955935364423145,0.1334144167420356,0.6251344531066274,0.7096306104841027
Run 4,0.6933813406403307,0.7216494247437157,0.7270159078660858,0.6970851999572412,0.6515895550315073
Run 5,0.7239318134647983,0.7299184678449292,0.7230719760638602,0.5801223720049666,0.6189689446624413
Run 6,0.6930620915763759,0.5267353932898681,0.6958515478221726,0.775711302383387,0.617253770249149
Run 7,0.6343155220429096,0.5881777915514836,0.7138246778204198,0.6251344531066274,0.6515895550315073
Run 8,0.6888688363308517,0.7363024848892448,0.6958515478221726,0.6692530061072287,0.8012145976638428
Run 9,0.7364816587682692,0.754927352774089,0.7532887370576538,0.7030536841139944,0.6337888500481308
Run 10,0.727061149125649,0.6233389860247622,0.681125664293171,0.671766958918316,0.7807070473756881
Mean,0.695074,0.686049,0.652839,0.66125,0.686868
