Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.42009325,0.440084454,0.43447418,0.229347424,0.229347424
Run 2,0.42009325,0.436607251,0.441029228,0.499605264,0.469739125
Run 3,0.407763667,0.458503862,0.461045005,0.229347424,0.229347424
Run 4,0.42009325,0.453168287,0.447430235,0.229347424,0.229347424
Run 5,0.47089249,0.491998665,0.46146061,0.53549658,0.229347424
Run 6,0.461369337,0.519037783,0.463659438,0.421356914,0.229347424
Run 7,0.446113893,0.375602679,0.44988537,0.229347424,0.229347424
Run 8,0.470778308,0.473270446,0.477058716,0.434931002,0.229347424
Run 9,0.464318823,0.453120173,0.429515575,0.229347424,0.449904062
Run 10,0.472336579,0.43468939,0.420240372,0.229347424,0.229347424
Mean,0.445385,0.453608,0.44858,0.326747,0.275442
