Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.5755538714544934,0.5450969629812928,0.572650999037628,0.66357081450566,0.6730745207351903
Run 2,0.5588939948402308,0.5350221084946427,0.572650999037628,0.6556765250576952,0.7360227849626874
Run 3,0.5697873298131225,0.5713429759549142,0.572650999037628,0.6867817252083405,0.6781747894286754
Run 4,0.5482711235151285,0.5450969629812928,0.572650999037628,0.6605741563234343,0.6978030594792597
Run 5,0.5565722471088087,0.5294902915386012,0.572650999037628,0.6746550323401476,0.671265495143242
Run 6,0.5984539746867967,0.5450969629812928,0.572650999037628,0.6595692964133412,0.6640125459458939
Run 7,0.5650403073307404,0.5889871422551959,0.572650999037628,0.6372947401273629,0.6725479561651646
Run 8,0.5822840045085236,0.5520473680042067,0.572650999037628,0.6601970592987132,0.6636242845815394
Run 9,0.5569011457880332,0.5484166870276269,0.572650999037628,0.693805336026807,0.6607442751922886
Run 10,0.5667624512848455,0.5709909954109345,0.572650999037628,0.6587715270684652,0.6603071847667794
Mean,0.567852,0.553159,0.572651,0.66509,0.677758
