Run 1,"Yes, you can study Discrete Mathematics partly online and partly on campus. 

According to the documentation, MATH1006 (Discrete Mathematics) is offered in a ""Hybrid"" mode for the Autumn semester in three locations:
- MATH1006-AUT-3-CA (Campbelltown)
- MATH1006-AUT-3-KW (Penrith Kingswood)
- MATH1006-AUT-3-PS (Parramatta South)

All of these hybrid offerings state ""Mode of Study: Hybrid"" with ""Self Enrol: Yes"" and ""Language of Instruction: English"". In educational terms, a hybrid mode means students can study partly online and partly on campus."
Run 2,"Yes. According to the documentation, there are Hybrid mode options for Discrete Mathematics (MATH1006) in Autumn. Specifically, the offerings MATH1006-AUT-3-CA (Campbelltown), MATH1006-AUT-3-KW (Penrith Kingswood), and MATH1006-AUT-3-PS (Parramatta South) all list ""Mode of Study: Hybrid"". Hybrid mode means students can study partly online and partly on campus."
Run 3,"Yes, according to the documentation, you can study Discrete Mathematics (MATH1006) partly online and partly on campus. The document shows that for the Autumn semester, there are hybrid study options:

- MATH1006-AUT-3-CA (Campbelltown)
- MATH1006-AUT-3-KW (Penrith Kingswood)
- MATH1006-AUT-3-PS (Parramatta South)

All of these are listed with ""Mode of Study: Hybrid"" and ""Self Enrol:Yes"". Hybrid mode means students can study partly online and partly on campus."
Run 4,"Yes, you can study Discrete Mathematics partly online and partly on campus. 

According to the documentation, the Autumn semester offerings for MATH1006 are all listed as ""Hybrid"" mode of study:
- MATH1006-AUT-3-CA (Campbelltown)
- MATH1006-AUT-3-KW (Penrith Kingswood)
- MATH1006-AUT-3-PS (Parramatta South)

In educational terms, ""Hybrid"" mode means a combination of online learning and on-campus learning, allowing students to study partly online and partly on campus. The other offerings (Surabaya and Sydney City) are ""On-site"" which means full in-person attendance."
Run 5,"Yes. 

According to the documentation, there are hybrid offerings for MATH1006 (Discrete Mathematics) in Autumn semester 2026:
- MATH1006-AUT-3-CA (Campbelltown) - Hybrid
- MATH1006-AUT-3-KW (Penrith Kingswood) - Hybrid
- MATH1006-AUT-3-PS (Parramatta South) - Hybrid

These hybrid options mean students can study partly online and partly on campus. The documentation specifically states ""Mode of Study: Hybrid"" for these offerings, which indicates a combination of online and on-campus learning."
Run 6,"Yes, you can study Discrete Mathematics partly online and partly on campus. 

The documentation shows that for the Autumn semester offerings, there are three hybrid options:
- MATH1006-AUT-3-CA (Campbelltown)
- MATH1006-AUT-3-KW (Penrith Kingswood)
- MATH1006-AUT-3-PS (Parramatta South)

All of these options have ""Mode of Study: Hybrid"" which indicates a combination of online and on-campus learning. This is explicitly stated in the documentation as a way to study the subject partly online and partly on campus."
Run 7,"Based on the provided documentation, I can see that for the Autumn semester offerings of MATH1006 (Discrete Mathematics), there are hybrid options:

- MATH1006-AUT-3-CA (Campbelltown): Mode of Study: Hybrid
- MATH1006-AUT-3-KW (Penrith Kingswood): Mode of Study: Hybrid
- MATH1006-AUT-3-PS (Parramatta South): Mode of Study: Hybrid

The documentation specifically states that these options have ""Mode of Study: Hybrid"" with ""Self Enrol:Yes"" and ""Language of Instruction:English"".

Hybrid study mode means students can study partly online and partly on campus. The documentation shows these are the available hybrid options for the Autumn semester.

Therefore, yes, you can study Discrete Mathematics partly online and partly on campus through the hybrid offerings."
Run 8,"Yes, you can study Discrete Mathematics partly online and partly on campus. 

The documentation shows that for the Autumn semester, there are three hybrid offerings:

- MATH1006-AUT-3-CA (Campbelltown) - Mode of Study: Hybrid
- MATH1006-AUT-3-KW (Penrith (Kingswood)) - Mode of Study: Hybrid
- MATH1006-AUT-3-PS (Parramatta South) - Mode of Study: Hybrid

All of these options are labeled as ""Hybrid"" which means they combine both on-campus and online study components. This directly answers your question about whether you can study Discrete Mathematics partly online and partly on campus."
Run 9,"Yes, according to the documentation, you can study Discrete Mathematics (MATH1006) partly online and partly on campus through the hybrid delivery mode. 

The documentation shows that for the Autumn semester, there are three hybrid options:
- MATH1006-AUT-3-CA (Campbelltown)
- MATH1006-AUT-3-KW (Penrith (Kingswood))
- MATH1006-AUT-3-PS (Parramatta South)

All of these have ""Mode of Study: Hybrid"" which means they are delivered partly online and partly on campus."
Run 10,"Yes, you can study Discrete Mathematics partly online and partly on campus. 

The documentation shows that for the Autumn semester offerings, there are three hybrid options:
- MATH1006-AUT-3-CA (Campbelltown)
- MATH1006-AUT-3-KW (Penrith)
- MATH1006-AUT-3-PS (Parramatta South)

All of these are listed as ""Mode of Study: Hybrid"" which means they combine online and on-campus study components. The documentation specifically states ""Hybrid"" as the mode of study for these options, indicating that students can study partly online and partly on campus."
