Run time,Non chunking cosine,Equal chunking cosine,Manual chunking overlap cosine,LangChain cosine,LangChain overlap cosine
Run 1,0.519618568,0.455614285,0.540299813,0.230079123,0.230079123
Run 2,0.489374401,0.456415008,0.476511738,0.230079123,0.230079123
Run 3,0.545109693,0.474820691,0.514524429,0.230079123,0.230079123
Run 4,0.502602302,0.493669769,0.524674084,0.219794408,0.219794408
Run 5,0.561347827,0.483692825,0.515244472,0.219794408,0.219794408
Run 6,0.492863715,0.443606606,0.427590237,0.219794408,0.219794408
Run 7,0.472851238,0.459513242,0.549264795,0.219794408,0.219794408
Run 8,0.504973911,0.466429732,0.494477223,0.219794408,0.219794408
Run 9,0.511453195,0.420508051,0.543898118,0.230079123,0.230079123
Run 10,0.511453195,0.420508051,0.530777334,0.230079123,0.230079123
Mean,0.511165,0.457478,0.511726,0.224937,0.224937
